Date,Sector, Movement,Headline,Impact Summary,Event Type,Source
01-01-2014,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
01-04-2014,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
30-06-2014,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
28-09-2014,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
27-12-2014,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
27-03-2015,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
25-06-2015,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
23-09-2015,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
22-12-2015,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
21-03-2016,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
19-06-2016,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
17-09-2016,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
16-12-2016,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
16-03-2017,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
14-06-2017,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
12-09-2017,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
11-12-2017,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
11-03-2018,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
09-06-2018,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
07-09-2018,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
06-12-2018,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
06-03-2019,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
04-06-2019,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
02-09-2019,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
01-12-2019,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
29-02-2020,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
29-05-2020,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
27-08-2020,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
25-11-2020,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
23-02-2021,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
24-05-2021,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
22-08-2021,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
20-11-2021,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
18-02-2022,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
19-05-2022,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
17-08-2022,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
15-11-2022,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
13-02-2023,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
14-05-2023,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
12-08-2023,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
10-11-2023,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
