Date,Sector, Movement,Headline,Impact Summary,Event Type,Source
2014-01-01,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
2014-04-01,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
2014-06-30,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
2014-09-28,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
2014-12-27,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
2015-03-27,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
2015-06-25,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
2015-09-23,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
2015-12-22,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
2016-03-21,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
2016-06-19,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
2016-09-17,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
2016-12-16,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
2017-03-16,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
2017-06-14,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
2017-09-12,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
2017-12-11,Pharma,-4.1,COVID-19 drug approval drives pharma stocks,Positive sentiment due to pandemic-related news.,Health,Moneycontrol
2018-03-11,Auto,5.2,Auto sales surge leads to strong sector rally,Sales data indicates increased consumer demand.,Sales Data,Reuters
2018-06-09,Realty,-3.8,Policy reform affects real estate stocks,Government reforms impact construction activity.,Reform,CNBC
2018-09-07,Infra,4,Budget allocation boosts infra sector,Increased capital expenditure raises optimism.,Budget,Business Standard
2018-12-06,Banking,3.5,RBI policy announcement impacts sector,Sector movement triggered by major RBI decision.,RBI Policy,Economic Times
